#{"t_start": 1776603862.111948, "env_id": "None"}
r,l,t
44.491572,138,751.895356
57.62327,76,752.429496
59.965868,100,753.129745
59.559258,98,753.816545
60.313924,99,754.509584
59.070886,107,755.26233
62.08125,84,755.851333
60.178645,89,756.470379
59.990852,99,757.16138
62.626916,82,757.734844
62.168875,93,758.387702
59.2877,92,759.032547
60.822914,97,759.714887
64.144025,111,760.494778
62.74844,107,761.245934
62.429043,100,761.946566
60.084325,119,762.784097
61.906688,112,763.572933
60.022019,91,764.210999
59.195513,81,764.783121
57.519331,111,765.561762
58.929291,115,766.370031
58.64025,109,767.139934
59.86437,92,767.78733
62.013673,104,768.515803
54.255949,135,769.466991
53.567515,140,770.450069
60.218922,99,771.143144
53.36658,141,772.132035
62.168732,106,772.876039
39.275539,150,773.928301
23.612317,150,774.981516
25.176423,150,776.033702
53.409675,142,777.032237
63.1143,109,777.79722
63.664184,104,778.528603
63.049608,91,779.166917
61.503733,96,779.842237
43.528768,150,780.894345
60.410945,123,781.762005
60.715353,103,782.486094
61.036801,82,783.563741
60.811706,98,784.249558
55.626232,123,785.112917
56.609303,122,785.970717
56.988839,121,786.822949
55.716496,131,787.745864
62.126719,108,788.50318
58.312029,103,789.229934
59.930868,102,789.947672
54.845213,144,790.957884
58.559742,123,791.821984
62.705974,92,792.470321
59.413362,123,793.334789
51.484698,136,794.28977
63.688075,98,794.980746
60.218708,116,795.795825
60.44911,108,796.557884
61.141656,104,797.290098
60.364522,118,798.120334
58.878239,120,798.963216
37.467047,150,800.015257
61.41218,85,800.611693
57.30443,123,801.472682
56.589418,125,802.349703
52.01912,141,803.339307
60.17814,83,803.919201
24.042926,150,804.970999
62.28759,109,805.737319
57.993171,129,806.644547
62.154036,112,807.429583
61.479551,82,808.004639
43.446322,150,809.060464
64.178888,108,809.819795
49.088149,140,810.803859
51.055249,135,811.752168
63.561754,98,812.441539
61.335095,118,813.271585
60.050164,125,814.151056
59.934369,112,814.940091
57.757421,119,815.777036
57.939336,117,816.597946
57.856882,134,817.542133
58.173999,122,818.399789
62.09314,113,819.193195
60.28453,93,819.847339
19.694061,150,820.903532
53.453717,146,821.931015
62.688013,110,822.702497
53.031198,129,823.610493
43.770604,130,824.524296
24.062279,150,825.578416
59.205332,80,826.141608
59.018856,112,826.930128
60.850883,109,827.695783
37.296671,150,828.749166
